id,queue_code,seat_no,gender,location,status,queue_order,assigned_at,returned_at,remarks,created_at,called_at,queue_event
261,F116,116,Female,Female,Archived,2,2026-06-08T03:21:15.921455+00:00,2026-06-08T03:24:38.787999+00:00,,2026-06-08T03:20:34.363535+00:00,2026-06-08T03:21:16.23768+00:00,AY2526_Y3P1
260,M36,36,Male,Male,Archived,1,2026-06-08T03:20:24.838523+00:00,2026-06-08T03:22:02.203227+00:00,,2026-06-08T03:19:32.742706+00:00,2026-06-08T03:20:24.97009+00:00,AY2526_Y3P1
259,M134,134,Male,Male,Archived,2,2026-06-08T03:17:12.40191+00:00,2026-06-08T03:18:57.757436+00:00,,2026-06-08T03:15:26.915141+00:00,2026-06-08T03:17:12.595895+00:00,AY2526_Y3P1
258,M77,77,Male,Male,Archived,1,2026-06-08T03:15:13.763922+00:00,2026-06-08T03:17:09.803424+00:00,,2026-06-08T03:15:09.089898+00:00,2026-06-08T03:15:13.902117+00:00,AY2526_Y3P1
257,M6,6,Male,Male,Archived,22,2026-06-08T03:08:25.082548+00:00,2026-06-08T03:10:55.652459+00:00,,2026-06-08T03:08:08.633929+00:00,2026-06-08T03:08:25.223708+00:00,AY2526_Y3P1
256,F125,125,Female,Female,Archived,21,2026-06-08T03:06:30.078973+00:00,2026-06-08T03:10:29.285928+00:00,,2026-06-08T03:04:45.82132+00:00,2026-06-08T03:06:30.222806+00:00,AY2526_Y3P1
255,F59,59,Female,Female,Archived,20,2026-06-08T03:04:04.387055+00:00,2026-06-08T03:06:27.866323+00:00,,2026-06-08T03:03:54.513259+00:00,2026-06-08T03:04:04.5218+00:00,AY2526_Y3P1
254,M53,53,Male,Male,Archived,19,2026-06-08T03:03:07.678071+00:00,2026-06-08T03:05:40.969619+00:00,,2026-06-08T02:59:34.4355+00:00,2026-06-08T03:03:08.055669+00:00,AY2526_Y3P1
253,M107,107,Male,Male,Archived,18,2026-06-08T02:59:09.968591+00:00,2026-06-08T03:03:06.453699+00:00,,2026-06-08T02:57:31.421142+00:00,2026-06-08T02:59:10.309832+00:00,AY2526_Y3P1
252,M8,8,Male,Handicap,Archived,17,2026-06-08T02:58:40.418218+00:00,2026-06-08T03:01:13.064251+00:00,,2026-06-08T02:57:19.230018+00:00,2026-06-08T02:58:40.535078+00:00,AY2526_Y3P1
