id,queue_code,seat_no,gender,location,status,queue_order,assigned_at,returned_at,remarks,created_at,called_at,queue_event
275,F116,116,Female,Female,Archived,2,2026-06-08T07:45:32.201982+00:00,2026-06-08T07:50:08.421738+00:00,,2026-06-08T07:43:16.339773+00:00,2026-06-08T07:45:32.324821+00:00,AY2526_Y3_P2
274,F125,125,Female,Female,Archived,1,2026-06-08T07:43:20.587512+00:00,2026-06-08T07:45:30.359765+00:00,,2026-06-08T07:42:44.038385+00:00,2026-06-08T07:43:20.708925+00:00,AY2526_Y3_P2
273,M53,53,Male,Male,Archived,4,2026-06-08T07:40:01.752533+00:00,2026-06-08T07:42:42.750103+00:00,,2026-06-08T07:39:15.901988+00:00,2026-06-08T07:40:01.869022+00:00,AY2526_Y3_P2
272,M134,134,Male,Male,Archived,3,2026-06-08T07:38:17.243859+00:00,2026-06-08T07:39:59.942089+00:00,,2026-06-08T07:37:29.007539+00:00,2026-06-08T07:38:17.359641+00:00,AY2526_Y3_P2
271,M105,105,Male,Male,Archived,2,2026-06-08T07:36:20.673262+00:00,2026-06-08T07:38:15.046753+00:00,,2026-06-08T07:35:39.481282+00:00,2026-06-08T07:36:20.793044+00:00,AY2526_Y3_P2
270,M98,98,Male,Male,Archived,1,2026-06-08T07:34:14.090419+00:00,2026-06-08T07:36:18.516139+00:00,,2026-06-08T07:33:50.203966+00:00,2026-06-08T07:34:14.236877+00:00,AY2526_Y3_P2
269,M33,33,Male,Male,Archived,1,2026-06-08T07:31:28.592136+00:00,2026-06-08T07:32:54.840989+00:00,,2026-06-08T07:30:42.904933+00:00,2026-06-08T07:31:28.715024+00:00,AY2526_Y3_P2
268,M151,151,Male,Male,Archived,1,2026-06-08T07:22:51.317023+00:00,2026-06-08T07:24:59.689623+00:00,,2026-06-08T07:21:57.434259+00:00,2026-06-08T07:22:51.447628+00:00,AY2526_Y3_P2
267,M107,107,Male,Male,Archived,6,2026-06-08T07:18:31.878389+00:00,2026-06-08T07:21:08.74386+00:00,,2026-06-08T07:05:09.456762+00:00,2026-06-08T07:18:32.002883+00:00,AY2526_Y3_P2
266,M80,80,Male,Male,Archived,5,2026-06-08T07:15:32.368081+00:00,2026-06-08T07:18:30.243816+00:00,,2026-06-08T07:02:49.939634+00:00,2026-06-08T07:15:32.486793+00:00,AY2526_Y3_P2
265,M113,113,Male,Male,Archived,4,2026-06-08T07:13:04.77296+00:00,2026-06-08T07:15:29.861721+00:00,,2026-06-08T07:00:51.881763+00:00,2026-06-08T07:13:04.888819+00:00,AY2526_Y3_P2
264,M61,61,Male,Male,Archived,3,2026-06-08T07:08:48.981897+00:00,2026-06-08T07:13:02.550059+00:00,,2026-06-08T06:52:18.048469+00:00,2026-06-08T07:08:49.126863+00:00,AY2526_Y3_P2
263,M92,92,Male,Male,Archived,2,2026-06-08T07:02:48.941627+00:00,2026-06-08T07:08:46.465897+00:00,,2026-06-08T06:52:04.232181+00:00,2026-06-08T07:03:09.968272+00:00,AY2526_Y3_P2
262,M95,95,Male,Male,Archived,1,2026-06-08T07:00:08.821549+00:00,2026-06-08T07:02:45.881651+00:00,,2026-06-08T06:31:03.430558+00:00,2026-06-08T07:00:08.976027+00:00,AY2526_Y3_P2
