queue_code,seat_no,gender,location,status,queue_order,assigned_at,returned_at,called_at,created_at
M108,108,Male,Male,Archived,9,11:19:20 AM,11:21:36 AM,2026-06-24T03:19:20.770705+00:00,2026-06-24T03:16:57.528635+00:00
M99,99,Male,Male,Archived,8,11:16:43 AM,11:19:18 AM,2026-06-24T03:16:43.45109+00:00,2026-06-24T03:15:19.817758+00:00
M39,39,Male,Male,Archived,7,11:14:43 AM,11:16:40 AM,2026-06-24T03:14:44.186427+00:00,2026-06-24T03:14:38.979334+00:00
F63,63,Female,Female,Archived,8,11:12:06 AM,11:14:15 AM,2026-06-24T03:12:06.45815+00:00,2026-06-24T03:12:00.241169+00:00
M63,63,Male,Handicap,Archived,7,11:12:48 AM,11:12:51 AM,2026-06-24T03:12:49.00965+00:00,2026-06-24T03:11:19.787301+00:00
M45,45,Male,Male,Archived,6,11:12:33 AM,11:14:42 AM,2026-06-24T03:12:33.551071+00:00,2026-06-24T03:11:16.5891+00:00
M149,149,Male,Male,Archived,5,11:10:00 AM,11:12:31 AM,2026-06-24T03:10:00.589355+00:00,2026-06-24T03:07:02.939785+00:00
F56,56,Female,Female,Archived,4,11:06:22 AM,11:10:39 AM,2026-06-24T03:06:22.879765+00:00,2026-06-24T03:06:14.060636+00:00
M112,112,Male,Male,Archived,3,11:08:00 AM,11:09:57 AM,2026-06-24T03:08:00.899477+00:00,2026-06-24T03:05:01.778015+00:00
F112,112,Female,Female,Archived,2,11:05:20 AM,11:05:23 AM,2026-06-24T03:05:20.462369+00:00,2026-06-24T03:04:47.226344+00:00
M150,150,Male,Handicap,Archived,1,11:06:58 AM,11:07:00 AM,2026-06-24T03:06:58.159458+00:00,2026-06-24T03:04:41.830214+00:00
M150,150,Male,Male,Archived,1,11:05:40 AM,11:07:57 AM,2026-06-24T03:05:41.018605+00:00,2026-06-24T03:04:41.708402+00:00
M127,127,Male,Male,Archived,6,10:55:48 AM,10:58:39 AM,2026-06-24T02:55:48.689197+00:00,2026-06-24T02:55:21.210369+00:00
F44,44,Female,Female,Archived,5,10:59:29 AM,11:02:12 AM,2026-06-24T02:59:29.50168+00:00,2026-06-24T02:54:35.656331+00:00
M155,155,Male,Male,Archived,4,10:53:46 AM,10:55:44 AM,2026-06-24T02:53:46.183251+00:00,2026-06-24T02:53:41.271378+00:00
M95,95,Male,Male,Archived,3,10:52:23 AM,10:53:42 AM,2026-06-24T02:52:23.515104+00:00,2026-06-24T02:52:10.407638+00:00
F158,158,Female,Female,Archived,2,10:50:13 AM,10:59:27 AM,2026-06-24T02:50:14.119182+00:00,2026-06-24T02:50:02.486617+00:00
M53,53,Male,Male,Archived,1,10:49:33 AM,10:51:00 AM,2026-06-24T02:49:47.634146+00:00,2026-06-24T02:49:27.834938+00:00
M7,7,Male,Male,Archived,10,10:47:14 AM,10:48:46 AM,2026-06-24T02:47:15.103117+00:00,2026-06-24T02:39:32.421617+00:00
F34,34,Female,Female,Archived,9,10:36:29 AM,10:41:49 AM,2026-06-24T02:36:29.428033+00:00,2026-06-24T02:35:49.404087+00:00
M30,30,Male,Male,Archived,8,10:44:59 AM,10:47:12 AM,2026-06-24T02:44:59.376078+00:00,2026-06-24T02:34:39.027122+00:00
M90,90,Male,Male,Archived,7,10:42:47 AM,10:44:56 AM,2026-06-24T02:42:48.05322+00:00,2026-06-24T02:33:37.192466+00:00
M144,144,Male,Male,Archived,6,10:40:34 AM,10:42:39 AM,2026-06-24T02:40:34.397003+00:00,2026-06-24T02:32:55.8932+00:00
M1,1,Male,Male,Archived,5,10:37:22 AM,10:40:32 AM,2026-06-24T02:37:22.419492+00:00,2026-06-24T02:30:32.130519+00:00
M66,66,Male,Male,Archived,4,10:34:33 AM,10:37:19 AM,2026-06-24T02:35:21.899786+00:00,2026-06-24T02:30:08.626112+00:00
M91,91,Male,Male,Archived,3,10:32:00 AM,10:34:31 AM,2026-06-24T02:32:01.073034+00:00,2026-06-24T02:30:01.441751+00:00
M109,109,Male,Male,Archived,2,10:30:14 AM,10:31:57 AM,2026-06-24T02:30:14.389546+00:00,2026-06-24T02:29:50.904889+00:00
F137,137,Female,Female,Archived,1,10:30:10 AM,10:32:50 AM,2026-06-24T02:30:10.964967+00:00,2026-06-24T02:29:32.131847+00:00
