queue_code,seat_no,gender,location,status,queue_order,assigned_at,returned_at,called_at,created_at
M103,103,Male,Male,Archived,1,11:43:38 AM,11:45:18 AM,,2026-06-02T03:43:32.733781+00:00
M115,115,Male,Male,Archived,66,11:38:27 AM,11:40:35 AM,2026-06-02T03:38:30.749315+00:00,2026-06-02T03:38:15.358076+00:00
M11,11,Male,Handicap,Archived,65,11:36:40 AM,11:38:23 AM,2026-06-02T03:36:41.833293+00:00,2026-06-02T03:35:57.597284+00:00
M79,79,Male,Male,Archived,65,11:33:16 AM,11:34:34 AM,,2026-06-02T03:33:11.668953+00:00
M29,29,Male,Male,Archived,64,11:35:13 AM,11:38:21 AM,2026-06-02T03:35:16.051819+00:00,2026-06-02T03:29:53.258566+00:00
M135,135,Male,Male,Archived,63,11:34:41 AM,11:35:09 AM,2026-06-02T03:34:43.705256+00:00,2026-06-02T03:27:36.944934+00:00
F79,79,Female,Female,Archived,62,11:30:31 AM,11:33:02 AM,2026-06-02T03:30:36.945883+00:00,2026-06-02T03:27:29.136102+00:00
F13,13,Female,Female,Archived,61,11:27:03 AM,11:30:28 AM,2026-06-02T03:27:17.863037+00:00,2026-06-02T03:26:07.054056+00:00
M92,92,Male,Handicap,Archived,60,11:33:21 AM,11:36:28 AM,2026-06-02T03:33:25.376155+00:00,2026-06-02T03:25:57.101949+00:00
F91,91,Female,Female,Archived,59,11:24:17 AM,11:26:58 AM,2026-06-02T03:24:20.270055+00:00,2026-06-02T03:23:46.134524+00:00
M36,36,Male,Male,Archived,58,11:27:14 AM,11:32:59 AM,2026-06-02T03:27:16.799006+00:00,2026-06-02T03:20:57.660965+00:00
M188,188,Male,Male,Archived,57,11:23:27 AM,11:27:11 AM,2026-06-02T03:23:33.23893+00:00,2026-06-02T03:20:23.342724+00:00
M187,187,Male,Male,Archived,56,11:20:54 AM,11:23:23 AM,2026-06-02T03:20:58.903208+00:00,2026-06-02T03:15:11.244127+00:00
F24,24,Female,Female,Archived,55,11:17:24 AM,11:21:19 AM,2026-06-02T03:17:32.232554+00:00,2026-06-02T03:14:40.196719+00:00
M99,99,Male,Male,Archived,54,11:17:28 AM,11:20:49 AM,2026-06-02T03:17:30.156784+00:00,2026-06-02T03:12:49.519901+00:00
M77,77,Male,Handicap,Archived,53,11:14:01 AM,11:14:05 AM,,2026-06-02T03:11:13.530697+00:00
M165,165,Male,Male,Archived,52,11:14:40 AM,11:17:19 AM,2026-06-02T03:14:43.317761+00:00,2026-06-02T03:11:12.961915+00:00
F35,35,Female,Female,Archived,48,11:11:01 AM,11:13:49 AM,2026-06-02T03:11:05.029159+00:00,2026-06-02T03:07:46.161121+00:00
M178,178,Male,Male,Archived,51,11:11:15 AM,11:14:33 AM,2026-06-02T03:11:17.29217+00:00,2026-06-02T03:05:59.111397+00:00
M69,69,Male,Male,Archived,50,11:08:37 AM,11:11:12 AM,2026-06-02T03:08:40.939169+00:00,2026-06-02T03:05:44.029684+00:00
