,queue_code,seat_no,gender,location,status,queue_order,assigned_at,returned_at,called_at,created_at
0,M154,154,Male,Male,Archived,1,11:42:25 AM,11:44:23 AM,2026-06-03T03:42:25.802915+00:00,2026-06-03T03:41:52.465233+00:00
1,F139,139,Female,Female,Archived,39,11:38:31 AM,11:39:30 AM,2026-06-03T03:38:45.439527+00:00,2026-06-03T03:33:36.283161+00:00
2,M107,107,Male,Handicap,Archived,38,11:35:06 AM,11:37:47 AM,2026-06-03T03:35:06.671873+00:00,2026-06-03T03:32:15.791086+00:00
3,F48,48,Female,Female,Archived,37,11:35:13 AM,11:38:29 AM,2026-06-03T03:35:55.107775+00:00,2026-06-03T03:31:58.730664+00:00
4,M42,42,Male,Male,Archived,36,11:34:37 AM,11:36:23 AM,2026-06-03T03:34:38.082186+00:00,2026-06-03T03:29:09.870581+00:00
5,M188,188,Male,Handicap,Archived,35,11:31:51 AM,11:34:51 AM,2026-06-03T03:31:52.105649+00:00,2026-06-03T03:26:43.839022+00:00
6,M95,95,Male,Male,Archived,34,11:31:49 AM,11:34:28 AM,2026-06-03T03:31:49.211105+00:00,2026-06-03T03:25:49.846552+00:00
7,M79,79,Male,Male,Archived,33,11:29:11 AM,11:31:45 AM,2026-06-03T03:29:12.192652+00:00,2026-06-03T03:25:37.672387+00:00
8,F40,40,Female,Female,Archived,32,11:32:34 AM,11:35:10 AM,2026-06-03T03:32:34.172839+00:00,2026-06-03T03:24:11.89551+00:00
9,F176,176,Female,Female,Archived,31,11:30:30 AM,11:32:23 AM,2026-06-03T03:30:31.085373+00:00,2026-06-03T03:21:26.291857+00:00
10,M4,4,Male,Handicap,Archived,30,11:24:26 AM,11:30:25 AM,2026-06-03T03:24:26.9646+00:00,2026-06-03T03:18:55.320066+00:00
11,M151,151,Male,Male,Archived,29,11:24:23 AM,11:27:59 AM,2026-06-03T03:24:23.515862+00:00,2026-06-03T03:18:25.323196+00:00
12,F83,83,Female,Female,Archived,28,11:28:34 AM,11:30:27 AM,2026-06-03T03:28:34.91937+00:00,2026-06-03T03:11:59.34831+00:00
13,M96,96,Male,Handicap,Archived,27,11:20:36 AM,11:24:16 AM,2026-06-03T03:20:36.263943+00:00,2026-06-03T03:11:38.591241+00:00
14,M49,49,Male,Male,Archived,26,11:20:33 AM,11:23:59 AM,2026-06-03T03:20:33.626941+00:00,2026-06-03T03:10:57.284373+00:00
15,M125,125,Male,Handicap,Archived,25,11:17:48 AM,11:20:12 AM,2026-06-03T03:17:48.954344+00:00,2026-06-03T03:10:13.685685+00:00
16,F24,24,Female,Female,Archived,24,11:25:06 AM,11:27:27 AM,2026-06-03T03:25:07.10604+00:00,2026-06-03T03:09:44.712737+00:00
17,M108,108,Male,Male,Archived,23,11:17:39 AM,11:20:10 AM,2026-06-03T03:17:39.12796+00:00,2026-06-03T03:08:35.07855+00:00
18,M7,7,Male,Handicap,Archived,22,11:16:30 AM,11:17:43 AM,2026-06-03T03:16:31.067792+00:00,2026-06-03T03:07:56.838178+00:00
19,M69,69,Male,Handicap,Archived,21,11:13:37 AM,11:16:23 AM,2026-06-03T03:13:37.913156+00:00,2026-06-03T03:07:15.02363+00:00
20,M113,113,Male,Male,Archived,20,11:12:12 AM,11:17:34 AM,2026-06-03T03:12:12.78406+00:00,2026-06-03T03:06:58.509766+00:00
21,F50,50,Female,Female,Archived,14,11:15:31 AM,11:22:18 AM,2026-06-03T03:15:32.048105+00:00,2026-06-03T03:06:51.17944+00:00
22,M73,73,Male,Handicap,Archived,18,11:10:41 AM,11:13:30 AM,2026-06-03T03:10:41.454969+00:00,2026-06-03T03:06:32.663676+00:00
23,M178,178,Male,Male,Archived,17,11:09:10 AM,11:12:07 AM,2026-06-03T03:09:10.717729+00:00,2026-06-03T03:05:31.223542+00:00
24,M130,130,Male,Handicap,Archived,16,11:07:56 AM,11:10:32 AM,2026-06-03T03:07:56.883626+00:00,2026-06-03T03:02:34.250398+00:00
25,M77,77,Male,Handicap,Archived,15,11:01:45 AM,11:02:54 AM,2026-06-03T03:01:45.557671+00:00,2026-06-03T03:01:41.277447+00:00
26,F134,134,Female,Female,Archived,19,11:22:22 AM,11:25:03 AM,2026-06-03T03:22:23.006081+00:00,2026-06-03T03:00:35.368871+00:00
27,F26,26,Female,Female,Archived,13,11:12:46 AM,11:15:28 AM,2026-06-03T03:12:46.583138+00:00,2026-06-03T03:00:03.803395+00:00
28,F35,35,Female,Female,Archived,12,11:08:10 AM,11:11:25 AM,2026-06-03T03:08:10.432555+00:00,2026-06-03T02:59:39.561764+00:00
29,F13,13,Female,Female,Archived,11,11:05:49 AM,11:08:04 AM,2026-06-03T03:05:49.453243+00:00,2026-06-03T02:59:14.249784+00:00
30,M177,177,Male,Male,Archived,10,11:03:20 AM,11:09:05 AM,2026-06-03T03:03:20.858982+00:00,2026-06-03T02:58:34.615692+00:00
31,M31,31,Male,Male,Archived,9,11:00:25 AM,11:03:08 AM,2026-06-03T03:00:25.567487+00:00,2026-06-03T02:58:23.029077+00:00
32,F150,150,Female,Female,Archived,7,10:58:03 AM,11:05:46 AM,2026-06-03T02:58:03.849203+00:00,2026-06-03T02:57:57.950056+00:00
33,M36,36,Male,Male,Archived,6,10:56:02 AM,11:00:16 AM,2026-06-03T02:56:02.553385+00:00,2026-06-03T02:54:34.153454+00:00
34,M6,6,Male,Male,Archived,5,10:52:07 AM,10:55:53 AM,2026-06-03T02:52:07.497537+00:00,2026-06-03T02:51:38.088355+00:00
35,F144,144,Female,Female,Archived,4,10:51:36 AM,10:54:20 AM,2026-06-03T02:51:36.723877+00:00,2026-06-03T02:51:32.879372+00:00
36,M38,38,Male,Male,Archived,3,10:49:19 AM,10:52:04 AM,2026-06-03T02:49:19.827521+00:00,2026-06-03T02:48:25.813206+00:00
37,M84,84,Male,Handicap,Archived,2,10:45:08 AM,10:49:14 AM,2026-06-03T02:46:46.912408+00:00,2026-06-03T02:44:46.498995+00:00
