queue_code,seat_no,gender,location,status,queue_order,assigned_at,returned_at,remarks,created_at,called_at
M158,158,Male,Handicap,Archived,1,2026-06-03 01:25:55.18314+00,2026-06-03 01:29:26.985244+00,,2026-06-03 01:25:52.514634+00,2026-06-03 01:25:55.296422+00
M86,86,Male,Male,Archived,4,2026-06-03 02:02:33.681536+00,2026-06-03 02:04:45.938148+00,,2026-06-03 01:43:35.203043+00,2026-06-03 02:02:33.804578+00
M95,95,Male,Male,Archived,5,2026-06-03 02:04:49.879093+00,2026-06-03 02:07:33.369589+00,,2026-06-03 01:44:09.237763+00,2026-06-03 02:04:50.00075+00
F169,169,Female,Female,Archived,6,2026-06-03 02:02:38.397317+00,2026-06-03 02:05:25.32091+00,,2026-06-03 01:44:52.594018+00,2026-06-03 02:02:38.517533+00
F111,111,Female,Female,Archived,7,2026-06-03 02:05:28.10463+00,2026-06-03 02:08:16.585857+00,,2026-06-03 01:45:40.379198+00,2026-06-03 02:05:28.270644+00
M143,143,Male,Handicap,Archived,8,2026-06-03 02:04:55.017738+00,2026-06-03 02:07:36.827639+00,,2026-06-03 01:46:53.455285+00,2026-06-03 02:04:55.147996+00
M123,123,Male,Male,Archived,9,2026-06-03 02:09:56.216936+00,2026-06-03 02:12:20.457737+00,,2026-06-03 01:55:09.784175+00,2026-06-03 02:09:56.38188+00
M19,19,Male,Handicap,Archived,10,2026-06-03 02:10:56.885298+00,2026-06-03 02:13:11.881501+00,,2026-06-03 02:01:10.223335+00,2026-06-03 02:10:57.028976+00
M7,7,Male,Male,Archived,11,2026-06-03 02:12:26.680195+00,2026-06-03 02:15:38.782042+00,,2026-06-03 02:01:29.591088+00,2026-06-03 02:13:08.206682+00
F58,58,Female,Female,Archived,12,2026-06-03 02:10:29.319525+00,2026-06-03 02:13:47.005015+00,,2026-06-03 02:01:41.553016+00,2026-06-03 02:10:29.441266+00
M11,11,Male,Handicap,Archived,13,2026-06-03 02:13:22.261726+00,2026-06-03 02:17:29.184132+00,,2026-06-03 02:02:01.740191+00,2026-06-03 02:13:22.381718+00
F67,67,Female,Female,Archived,14,2026-06-03 02:13:52.390669+00,2026-06-03 02:17:05.689553+00,,2026-06-03 02:03:44.394372+00,2026-06-03 02:13:52.629856+00
M135,135,Male,Male,Archived,15,2026-06-03 02:15:47.43557+00,2026-06-03 02:18:24.836907+00,,2026-06-03 02:04:15.08107+00,2026-06-03 02:15:47.589514+00
M88,88,Male,Male,Archived,16,2026-06-03 02:18:27.489703+00,2026-06-03 02:20:36.094256+00,,2026-06-03 02:04:17.706293+00,2026-06-03 02:18:27.645167+00
F14,14,Female,Female,Archived,17,2026-06-03 02:17:16.534286+00,2026-06-03 02:20:19.482329+00,,2026-06-03 02:05:31.424032+00,2026-06-03 02:17:16.651053+00
M65,65,Male,Handicap,Archived,18,2026-06-03 02:18:31.880912+00,2026-06-03 02:21:17.645409+00,,2026-06-03 02:07:18.145383+00,2026-06-03 02:18:32.046403+00
M31,31,Male,Male,Archived,19,2026-06-03 02:20:43.902996+00,2026-06-03 02:23:45.14082+00,,2026-06-03 02:11:15.233214+00,2026-06-03 02:20:44.023503+00
M61,61,Male,Handicap,Archived,20,2026-06-03 02:21:45.252874+00,2026-06-03 02:25:05.319469+00,,2026-06-03 02:11:36.002436+00,2026-06-03 02:21:45.373083+00
M181,181,Male,Male,Archived,21,2026-06-03 02:23:49.371287+00,2026-06-03 02:25:16.86849+00,,2026-06-03 02:11:52.916435+00,2026-06-03 02:23:49.549137+00
M46,46,Male,Handicap,Archived,22,2026-06-03 02:25:11.826516+00,2026-06-03 02:28:11.290528+00,,2026-06-03 02:11:59.123331+00,2026-06-03 02:25:11.95734+00
M75,75,Male,Male,Archived,23,2026-06-03 02:26:09.139171+00,2026-06-03 02:28:13.057699+00,,2026-06-03 02:15:48.694431+00,2026-06-03 02:26:09.254849+00
F159,159,Female,Female,Archived,24,2026-06-03 02:20:25.993388+00,2026-06-03 02:25:08.388871+00,,2026-06-03 02:18:34.366779+00,2026-06-03 02:20:26.116291+00
M187,187,Male,Male,Archived,25,2026-06-03 02:28:16.030782+00,2026-06-03 02:30:52.141845+00,,2026-06-03 02:23:59.099808+00,2026-06-03 02:28:16.229009+00
M109,109,Male,Handicap,Archived,26,2026-06-03 02:28:19.440632+00,2026-06-03 02:31:23.527101+00,,2026-06-03 02:24:19.811269+00,2026-06-03 02:28:19.643297+00
M18,18,Male,Male,Archived,27,2026-06-03 02:30:56.414133+00,2026-06-03 02:33:52.430512+00,,2026-06-03 02:26:09.031299+00,2026-06-03 02:30:56.537171+00
M9,9,Male,Handicap,Archived,28,2026-06-03 02:31:26.923142+00,2026-06-03 02:33:58.690946+00,,2026-06-03 02:30:17.973972+00,2026-06-03 02:31:27.222645+00
F117,117,Female,Female,Archived,29,2026-06-03 02:31:39.063882+00,2026-06-03 02:33:40.975691+00,,2026-06-03 02:31:32.626972+00,2026-06-03 02:31:39.339223+00
M184,184,Male,Male,Archived,30,2026-06-03 02:33:56.655773+00,2026-06-03 02:36:34.621958+00,,2026-06-03 02:32:21.098915+00,2026-06-03 02:33:56.779772+00
M132,132,Male,Male,Archived,1,2026-06-03 02:39:20.169043+00,2026-06-03 02:41:55.523848+00,,2026-06-03 02:38:44.009666+00,2026-06-03 02:39:20.292648+00
M55,55,Male,Male,Archived,1,2026-06-03 02:44:42.014561+00,2026-06-03 02:46:42.649866+00,,2026-06-03 02:44:35.406018+00,2026-06-03 02:44:42.1384+00
M84,84,Male,Handicap,Archived,2,2026-06-03 02:45:08.971757+00,2026-06-03 02:49:14.69731+00,,2026-06-03 02:44:46.498995+00,2026-06-03 02:46:46.912408+00
M38,38,Male,Male,Archived,3,2026-06-03 02:49:19.702769+00,2026-06-03 02:52:04.219537+00,,2026-06-03 02:48:25.813206+00,2026-06-03 02:49:19.827521+00
F144,144,Female,Female,Archived,4,2026-06-03 02:51:36.607916+00,2026-06-03 02:54:20.114631+00,,2026-06-03 02:51:32.879372+00,2026-06-03 02:51:36.723877+00
M6,6,Male,Male,Archived,5,2026-06-03 02:52:07.372327+00,2026-06-03 02:55:53.424223+00,,2026-06-03 02:51:38.088355+00,2026-06-03 02:52:07.497537+00
M36,36,Male,Male,Archived,6,2026-06-03 02:56:02.409102+00,2026-06-03 03:00:16.04181+00,,2026-06-03 02:54:34.153454+00,2026-06-03 02:56:02.553385+00
F150,150,Female,Female,Archived,7,2026-06-03 02:58:03.714282+00,2026-06-03 03:05:46.613523+00,,2026-06-03 02:57:57.950056+00,2026-06-03 02:58:03.849203+00
M31,31,Male,Male,Archived,9,2026-06-03 03:00:25.442188+00,2026-06-03 03:03:08.865819+00,,2026-06-03 02:58:23.029077+00,2026-06-03 03:00:25.567487+00
M177,177,Male,Male,Archived,10,2026-06-03 03:03:20.745141+00,2026-06-03 03:09:05.390175+00,,2026-06-03 02:58:34.615692+00,2026-06-03 03:03:20.858982+00
F13,13,Female,Female,Archived,11,2026-06-03 03:05:49.337509+00,2026-06-03 03:08:04.691715+00,,2026-06-03 02:59:14.249784+00,2026-06-03 03:05:49.453243+00
F35,35,Female,Female,Archived,12,2026-06-03 03:08:10.312012+00,2026-06-03 03:11:25.681988+00,,2026-06-03 02:59:39.561764+00,2026-06-03 03:08:10.432555+00
F26,26,Female,Female,Archived,13,2026-06-03 03:12:46.420853+00,2026-06-03 03:15:28.703+00,,2026-06-03 03:00:03.803395+00,2026-06-03 03:12:46.583138+00
F134,134,Female,Female,Archived,19,2026-06-03 03:22:22.888784+00,2026-06-03 03:25:03.237333+00,,2026-06-03 03:00:35.368871+00,2026-06-03 03:22:23.006081+00
M77,77,Male,Handicap,Archived,15,2026-06-03 03:01:45.409107+00,2026-06-03 03:02:54.411366+00,,2026-06-03 03:01:41.277447+00,2026-06-03 03:01:45.557671+00
M130,130,Male,Handicap,Archived,16,2026-06-03 03:07:56.769477+00,2026-06-03 03:10:32.555328+00,,2026-06-03 03:02:34.250398+00,2026-06-03 03:07:56.883626+00
M178,178,Male,Male,Archived,17,2026-06-03 03:09:10.570999+00,2026-06-03 03:12:07.852815+00,,2026-06-03 03:05:31.223542+00,2026-06-03 03:09:10.717729+00
M73,73,Male,Handicap,Archived,18,2026-06-03 03:10:41.282929+00,2026-06-03 03:13:30.36723+00,,2026-06-03 03:06:32.663676+00,2026-06-03 03:10:41.454969+00
F50,50,Female,Female,Archived,14,2026-06-03 03:15:31.923284+00,2026-06-03 03:22:18.201033+00,,2026-06-03 03:06:51.17944+00,2026-06-03 03:15:32.048105+00
M113,113,Male,Male,Archived,20,2026-06-03 03:12:12.604369+00,2026-06-03 03:17:34.345889+00,,2026-06-03 03:06:58.509766+00,2026-06-03 03:12:12.78406+00
M69,69,Male,Handicap,Archived,21,2026-06-03 03:13:37.732855+00,2026-06-03 03:16:23.261612+00,,2026-06-03 03:07:15.02363+00,2026-06-03 03:13:37.913156+00
M7,7,Male,Handicap,Archived,22,2026-06-03 03:16:30.909872+00,2026-06-03 03:17:43.442914+00,,2026-06-03 03:07:56.838178+00,2026-06-03 03:16:31.067792+00
M108,108,Male,Male,Archived,23,2026-06-03 03:17:39.004018+00,2026-06-03 03:20:10.972998+00,,2026-06-03 03:08:35.07855+00,2026-06-03 03:17:39.12796+00
F24,24,Female,Female,Archived,24,2026-06-03 03:25:06.983272+00,2026-06-03 03:27:27.625893+00,,2026-06-03 03:09:44.712737+00,2026-06-03 03:25:07.10604+00
M125,125,Male,Handicap,Archived,25,2026-06-03 03:17:48.831865+00,2026-06-03 03:20:12.567064+00,,2026-06-03 03:10:13.685685+00,2026-06-03 03:17:48.954344+00
M49,49,Male,Male,Archived,26,2026-06-03 03:20:33.476636+00,2026-06-03 03:23:59.153695+00,,2026-06-03 03:10:57.284373+00,2026-06-03 03:20:33.626941+00
M96,96,Male,Handicap,Archived,27,2026-06-03 03:20:36.141391+00,2026-06-03 03:24:16.881934+00,,2026-06-03 03:11:38.591241+00,2026-06-03 03:20:36.263943+00
F83,83,Female,Female,Archived,28,2026-06-03 03:28:34.797649+00,2026-06-03 03:30:27.730552+00,,2026-06-03 03:11:59.34831+00,2026-06-03 03:28:34.91937+00
M151,151,Male,Male,Archived,29,2026-06-03 03:24:23.396316+00,2026-06-03 03:27:59.744795+00,,2026-06-03 03:18:25.323196+00,2026-06-03 03:24:23.515862+00
M4,4,Male,Handicap,Archived,30,2026-06-03 03:24:26.848057+00,2026-06-03 03:30:25.073903+00,,2026-06-03 03:18:55.320066+00,2026-06-03 03:24:26.9646+00
F176,176,Female,Female,Archived,31,2026-06-03 03:30:30.909968+00,2026-06-03 03:32:23.295516+00,,2026-06-03 03:21:26.291857+00,2026-06-03 03:30:31.085373+00
F40,40,Female,Female,Archived,32,2026-06-03 03:32:34.021941+00,2026-06-03 03:35:10.487361+00,,2026-06-03 03:24:11.89551+00,2026-06-03 03:32:34.172839+00
M79,79,Male,Male,Archived,33,2026-06-03 03:29:11.992751+00,2026-06-03 03:31:45.143672+00,,2026-06-03 03:25:37.672387+00,2026-06-03 03:29:12.192652+00
M95,95,Male,Male,Archived,34,2026-06-03 03:31:49.085924+00,2026-06-03 03:34:28.449257+00,,2026-06-03 03:25:49.846552+00,2026-06-03 03:31:49.211105+00
M188,188,Male,Handicap,Archived,35,2026-06-03 03:31:51.972727+00,2026-06-03 03:34:51.631098+00,,2026-06-03 03:26:43.839022+00,2026-06-03 03:31:52.105649+00
M42,42,Male,Male,Archived,36,2026-06-03 03:34:37.943706+00,2026-06-03 03:36:23.814409+00,,2026-06-03 03:29:09.870581+00,2026-06-03 03:34:38.082186+00
F48,48,Female,Female,Archived,37,2026-06-03 03:35:13.51649+00,2026-06-03 03:38:29.098329+00,,2026-06-03 03:31:58.730664+00,2026-06-03 03:35:55.107775+00
M107,107,Male,Handicap,Archived,38,2026-06-03 03:35:06.549486+00,2026-06-03 03:37:47.237674+00,,2026-06-03 03:32:15.791086+00,2026-06-03 03:35:06.671873+00
F139,139,Female,Female,Archived,39,2026-06-03 03:38:31.79211+00,2026-06-03 03:39:30.409023+00,,2026-06-03 03:33:36.283161+00,2026-06-03 03:38:45.439527+00
M154,154,Male,Male,Archived,1,2026-06-03 03:42:25.686787+00,2026-06-03 03:44:23.198016+00,,2026-06-03 03:41:52.465233+00,2026-06-03 03:42:25.802915+00
